timestamp,open,high,low,close,adj_close,volume
2024-07-15,184.92,188.24,184.92,186.53,185.6308,16474039
2024-07-16,187.36,188.68,183.3736,183.92,183.0334,18290721
2024-07-17,182.965,183.55,179.9,181.02,180.1474,20734070
2024-07-18,181.93,182.5,176.47,177.69,176.8334,25315730
2024-07-19,178.88,180.29,177.13,177.66,176.8036,18881891
2024-07-22,180.59,182.7,180.23,181.67,180.7942,24100350
2024-07-23,182.05,183.61,181.54,181.79,180.9136,36352711
2024-07-24,173.6,176.19,171.82,172.63,171.7978,49585199
2024-07-25,172.52,173.42,167.19,167.28,166.4736,44851969
2024-07-26,167.15,168.09,164.06,167.0,166.1949,41336887
2024-07-29,168.83,170.43,167.99,169.53,168.7127,20293820
2024-07-30,170.24,171.2299,168.44,170.29,169.4691,18959689
2024-07-31,173.24,174.245,170.01,171.54,170.7131,25729090
2024-08-01,170.25,174.05,168.88,170.76,169.9368,24531391
2024-08-02,166.44,168.51,164.67,166.66,165.8566,29130100
2024-08-05,155.5,164.43,154.93,159.25,158.4823,53630672
2024-08-06,159.33,160.57,156.41,158.29,157.5269,49004559
2024-08-07,161.25,162.98,158.47,158.94,158.1738,25138570
2024-08-08,160.51,163.69,160.21,162.03,161.2489,25578840
2024-08-09,160.01,163.79,159.06,163.67,162.881,28602289
2024-08-12,164.35,164.9,161.84,162.29,161.5076,15895290
2024-08-13,163.41,164.73,162.97,164.16,163.3686,18551689
2024-08-14,162.4,163.22,157.71,160.37,159.5969,40591129
2024-08-15,160.5,161.635,159.61,161.3,160.5224,31524250
2024-08-16,161.47,165.06,161.13,162.96,162.1744,24208650
2024-08-19,165.28,166.69,164.26,166.67,165.8665,22416189
2024-08-20,166.9,168.64,166.82,167.18,166.3741,18341529
2024-08-21,165.15,166.85,164.67,165.85,165.0505,22902000
2024-08-22,167.26,167.59,163.31,163.8,163.0104,22493279
2024-08-23,164.72,166.18,163.83,165.62,164.8216,13955740
2024-08-26,166.38,167.55,164.455,166.16,165.359,14190420
2024-08-27,165.835,166.4426,164.46,164.68,163.8861,11821940
2024-08-28,165.035,165.6,161.5284,162.85,162.0649,16407439
2024-08-29,164.31,165.97,160.25,161.78,161.0001,19699770
2024-08-30,162.615,163.66,161.6925,163.38,162.5924,22123811
2024-09-03,161.72,161.85,156.48,157.36,156.6014,38925500
2024-09-04,156.655,159.0,155.9616,156.45,155.6958,19353760
2024-09-05,156.3,159.45,155.9805,157.24,156.482,18688750
2024-09-06,157.3,157.83,150.55,150.92,150.1925,37912129
2024-09-09,152.51,153.4,147.215,148.71,148.1895,39260449
2024-09-10,150.45,151.27,148.34,148.66,148.1397,31118770
2024-09-11,149.92,151.5,147.52,151.16,150.6309,29607689
2024-09-12,153.8,154.82,152.65,154.69,154.1486,29695051
2024-09-13,155.43,158.38,155.21,157.46,156.9089,29591150
2024-09-16,157.31,158.25,156.6,158.06,157.5068,18379779
2024-09-17,159.02,160.55,158.375,159.32,158.7624,20715609
2024-09-18,159.86,160.5,158.595,159.81,159.2506,23677320
2024-09-19,163.71,163.79,161.34,162.14,161.5725,26587730
2024-09-20,163.5,163.73,162.06,163.59,163.0174,40896441
2024-09-23,164.35,165.49,161.67,161.85,161.2835,24150850
2024-09-24,163.03,163.2158,160.69,162.29,161.722,23332150
2024-09-25,161.47,162.81,161.3,161.49,160.9248,18869199
2024-09-26,163.64,164.08,162.28,162.73,162.1604,20319340
2024-09-27,162.81,165.7,162.6261,163.95,163.3762,21101311
2024-09-30,163.32,166.15,163.26,165.85,165.2695,20481301
2024-10-01,167.685,169.16,164.58,166.99,166.4055,28338119
2024-10-02,166.42,167.52,164.73,165.86,165.2795,17760180
2024-10-03,164.41,166.64,163.923,165.86,165.2795,15073100
2024-10-04,168.06,168.23,165.48,167.06,166.4753,19093721
2024-10-07,167.72,168.48,162.75,162.98,162.4095,22463141
2024-10-08,163.94,164.725,162.87,164.38,163.8046,23072730
2024-10-09,163.45,164.84,159.74,161.86,161.2935,31181770
2024-10-10,160.87,163.07,160.395,162.08,161.5127,14144070
2024-10-11,162.13,163.9,161.235,163.24,162.6686,15344250
2024-10-14,163.64,166.226,163.4,164.96,164.3826,19016141
2024-10-15,165.785,167.68,164.625,165.46,164.8809,20247199
2024-10-16,164.53,165.8,163.74,165.16,164.5819,16406029
2024-10-17,165.73,166.37,162.76,162.93,162.3597,21453400
2024-10-18,163.19,164.71,163.08,163.42,162.848,19757660
2024-10-21,162.95,164.5,162.62,164.07,163.4957,20946461
2024-10-22,162.98,165.77,162.98,165.14,164.562,16568119
2024-10-23,164.76,165.82,161.925,162.78,162.2102,18280520
2024-10-24,162.83,163.33,161.01,162.72,162.1505,22412529
2024-10-25,163.67,165.59,163.42,165.27,164.6915,19828881
2024-10-28,168.75,168.75,163.95,166.72,166.1365,32138641
2024-10-29,167.73,170.38,167.0896,169.68,169.0861,42169031
2024-10-30,180.68,182.02,174.0599,174.46,173.8494,68890789
2024-10-31,173.13,176.82,171.0,171.11,170.5111,44768980
2024-11-01,170.07,172.32,168.88,171.29,170.6905,31796480
2024-11-04,169.93,170.73,168.011,169.24,168.6476,21492740
2024-11-05,169.43,170.53,168.84,169.74,169.1459,18242051
2024-11-06,173.8,176.94,173.5,176.51,175.8922,33695539
2024-11-07,177.41,181.08,177.19,180.75,180.1174,25352939
2024-11-08,180.645,180.9,178.08,178.35,177.7258,22006180
2024-11-11,178.58,180.545,178.47,180.35,179.7188,17450350
2024-11-12,179.82,182.49,179.39,181.62,180.9843,25134910
2024-11-13,180.46,180.96,178.54,178.88,178.2539,23184000
2024-11-14,178.28,178.82,174.3218,175.58,174.9654,31007461
2024-11-15,173.73,174.14,171.22,172.49,171.8863,32504650
2024-11-18,173.42,175.438,172.9,175.3,174.6864,20206609
2024-11-19,173.72,178.87,173.56,178.12,177.4966,23434930
2024-11-20,177.34,177.675,173.78,175.98,175.364,18997109
2024-11-21,173.9,174.13,163.7,167.63,167.0433,59734379
2024-11-22,165.85,166.46,163.9,164.76,164.1833,38604594
2024-11-25,166.09,168.63,165.6072,167.65,167.0632,33135262
2024-11-26,167.63,169.82,167.58,169.12,168.5281,20486721
2024-11-27,169.0,169.4832,168.02,169.23,168.6377,19266510
2024-11-29,168.5,169.43,167.16,168.95,168.3587,14257240
2024-12-02,168.765,172.075,168.57,171.49,170.8898,23789080
2024-12-03,171.49,172.68,170.85,171.34,170.7403,22248711
2024-12-04,171.145,174.91,171.06,174.37,173.7597,31615141
2024-12-05,175.36,176.06,172.33,172.64,172.0357,21356240
2024-12-06,172.03,175.08,171.86,174.71,174.0985,21462391
2024-12-09,173.96,176.26,173.65,175.37,174.9565,25389631
2024-12-10,182.845,186.36,181.05,185.17,184.7334,54813020
2024-12-11,185.31,195.61,184.85,195.4,194.9392,67894070
2024-12-12,195.0,195.18,191.71,191.96,191.5073,34817488
2024-12-13,191.01,192.73,189.64,189.82,189.3724,25143500
2024-12-16,192.87,199.0,192.62,196.66,196.1963,44934898
2024-12-17,197.25,201.42,194.98,195.42,194.9592,43504031
2024-12-18,195.22,197.0,187.74,188.4,187.9557,34166070
2024-12-19,191.625,193.03,188.38,188.51,188.0655,32265240
2024-12-20,185.78,192.89,185.22,191.41,190.9586,63462930
2024-12-23,192.62,195.1,190.15,194.63,194.171,25675010
2024-12-24,194.84,196.11,193.78,196.11,195.6476,10403260
2024-12-26,195.15,196.748,194.375,195.6,195.1388,12057210
2024-12-27,194.95,195.32,190.65,192.76,192.3055,18891359
2024-12-30,189.8,192.55,189.12,191.24,190.789,14264660
2024-12-31,191.075,191.96,188.51,189.3,188.8536,17466920
2025-01-02,190.65,192.0,187.5,189.43,188.9833,20370830
2025-01-03,191.37,193.21,189.975,191.79,191.3377,18596160
2025-01-06,193.98,198.2222,193.85,196.87,196.4058,29563641
2025-01-07,197.11,201.0,194.6,195.49,195.029,26487240
2025-01-08,192.57,196.29,192.38,193.95,193.4927,24864770
2025-01-10,194.295,196.52,190.31,192.04,191.5872,26665211
2025-01-13,190.07,191.18,187.36,191.01,190.5596,21823699
2025-01-14,191.24,191.98,188.3082,189.66,189.2128,17174850
2025-01-15,193.09,196.36,191.86,195.55,195.0889,21775971
2025-01-16,194.14,195.48,192.81,192.91,192.4551,17815430
2025-01-17,196.53,197.23,193.75,196.0,195.5378,27735090
2025-01-21,199.07,202.29,197.87,198.05,197.583,29971289
2025-01-22,199.06,200.48,197.53,198.37,197.9022,26200619
2025-01-23,198.14,200.3,195.2,197.98,197.5131,26951359
2025-01-24,198.1,200.9,198.0,200.21,199.7379,23877520
2025-01-27,192.41,196.88,190.73,191.81,191.3577,41728887
2025-01-28,192.745,195.48,190.68,195.3,194.8395,24157930
2025-01-29,195.555,196.785,193.43,195.41,194.9492,18218260
2025-01-30,198.0,201.4,197.67,200.87,200.3963,24354680
2025-01-31,202.0,205.48,201.8,204.02,203.5389,32041949
2025-02-03,200.69,203.75,200.1,201.23,200.7555,27838350
2025-02-04,203.39,207.05,202.81,206.38,205.8933,43856434
2025-02-05,191.07,192.75,188.03,191.33,190.8788,70461766
2025-02-06,189.5,192.1,188.72,191.6,191.1482,29297439
2025-02-07,191.05,191.18,183.24,185.34,184.903,49314961
2025-02-10,187.35,188.2,185.86,186.47,186.0303,23105650
2025-02-11,185.03,186.94,184.28,185.32,184.883,21239520
2025-02-12,183.22,185.11,181.83,183.61,183.177,22072561
2025-02-13,184.32,186.28,183.14,186.14,185.7011,21402520
2025-02-14,185.055,186.4,184.32,185.23,184.7932,20448439
2025-02-18,185.6,185.96,181.7401,183.77,183.3367,29916680
2025-02-19,184.07,185.46,183.59,185.27,184.8331,19549400
2025-02-20,184.8,185.31,182.72,184.56,184.1248,20441461
2025-02-21,185.15,185.34,179.08,179.66,179.2363,35199238
2025-02-24,181.99,183.12,178.885,179.25,178.8273,29854211
2025-02-25,178.04,178.74,174.6939,175.42,175.0063,41913406
2025-02-26,175.07,176.08,171.5807,172.73,172.3227,35431273
2025-02-27,173.99,174.56,167.94,168.5,168.1027,39991020
2025-02-28,168.68,170.61,166.77,170.28,169.8785,48130566
2025-03-03,171.925,173.37,165.93,167.01,166.6162,40770449
2025-03-04,166.24,173.2946,165.8,170.92,170.517,45388000
2025-03-05,170.52,173.78,169.06,173.02,172.612,30954920
2025-03-06,170.53,174.81,170.5,172.35,171.9436,28301949
2025-03-07,171.26,174.97,170.27,173.86,173.45,27385811
2025-03-10,168.26,168.46,163.69,165.87,165.6694,43604031
2025-03-11,164.91,166.75,161.37,164.04,163.8417,39587406
2025-03-12,166.58,167.6399,163.53,167.11,166.9079,28372400
2025-03-13,166.035,166.13,162.11,162.76,162.5632,31756211
2025-03-14,163.27,166.49,162.45,165.49,165.2899,31995891
2025-03-17,165.03,166.3,163.67,164.29,164.0914,31184340
2025-03-18,163.675,164.25,156.72,160.67,160.4757,42074754
2025-03-19,161.76,165.87,161.0,163.89,163.6918,34275578
2025-03-20,161.57,164.89,160.96,162.8,162.6032,28138461
2025-03-21,161.205,164.24,160.8901,163.99,163.7917,36625762
2025-03-24,167.065,168.32,165.14,167.68,167.4773,30879131
2025-03-25,168.98,170.63,168.315,170.56,170.3538,24174369
2025-03-26,169.0,169.61,164.84,165.06,164.8604,28939330
2025-03-27,164.63,165.42,162.0,162.24,162.0438,24508270
2025-03-28,160.49,161.82,153.63,154.33,154.1434,48669340
2025-03-31,153.11,155.54,150.662,154.64,154.453,54603461
2025-04-01,153.62,158.1,153.62,157.07,156.8801,30672900
2025-04-02,155.15,158.4052,154.7,157.04,156.8501,25041730
2025-04-03,151.11,152.7799,150.39,150.72,150.5378,46883367
2025-04-04,148.01,151.07,145.38,145.6,145.424,62259539
2025-04-07,141.55,152.85,140.53,146.75,146.5726,76794141
2025-04-08,151.22,152.24,143.03,144.7,144.525,52200207
2025-04-09,144.415,159.55,143.905,158.71,158.5181,70406234
2025-04-10,156.54,157.72,149.93,152.82,152.6352,48021969
2025-04-11,152.9,157.67,152.82,157.14,156.95,33636238
2025-04-14,159.995,161.72,157.56,159.07,158.8777,30332961
2025-04-15,159.125,159.65,155.21,156.31,156.121,27551529
2025-04-16,153.1,155.89,151.51,153.33,153.1446,28187420
2025-04-17,154.29,154.68,148.5,151.16,150.9772,33046578
2025-04-21,148.88,148.945,146.1,147.67,147.4914,26049119
2025-04-22,148.89,152.19,148.54,151.47,151.2869,26971770
2025-04-23,155.61,157.525,153.81,155.35,155.1622,31128830
2025-04-24,156.15,159.59,155.79,159.28,159.0874,45893953
2025-04-25,165.07,166.1,161.04,161.96,161.7642,56034000
2025-04-28,162.425,163.15,158.6,160.61,160.4158,29745779
2025-04-29,160.325,160.74,157.52,160.16,159.9663,26808961
2025-04-30,157.975,159.27,155.4,158.8,158.608,34981059
2025-05-01,160.45,161.95,158.91,161.3,161.105,30203250
2025-05-02,163.405,164.97,161.87,164.03,163.8317,25715010
2025-05-05,163.0,165.39,162.72,164.21,164.0115,21341811
2025-05-06,162.17,164.8,161.19,163.23,163.0326,21277211
2025-05-07,164.08,165.0,147.84,151.38,151.197,127747602
2025-05-08,155.0,155.93,152.9,154.28,154.0935,57498688
2025-05-09,154.17,155.05,152.2,152.75,152.5653,32435279
2025-05-12,157.485,159.1,156.25,158.46,158.2684,44138820
2025-05-13,158.79,160.57,156.16,159.53,159.3371,42382129
2025-05-14,159.96,167.0,159.61,165.37,165.17,48755871
2025-05-15,165.84,166.205,162.3732,163.96,163.7618,33146672
2025-05-16,167.725,169.35,165.62,166.19,165.9891,42846930
2025-05-19,164.51,166.64,164.22,166.54,166.3386,30426100
2025-05-20,166.43,168.5,162.9,163.98,163.7817,46607660
2025-05-21,163.69,173.14,163.56,168.56,168.3562,73415961
2025-05-22,171.85,176.77,170.71,170.87,170.6634,74864414
2025-05-23,169.055,169.96,167.89,168.47,168.2663,35211441
2025-05-27,170.16,173.17,170.0,172.9,172.6909,37995672
2025-05-28,173.16,175.265,171.9107,172.36,172.1516,34784000
2025-05-29,174.0,174.4193,170.63,171.86,171.6522,29373801
2025-05-30,171.35,172.205,167.44,171.74,171.5323,52639910
2025-06-02,167.84,169.87,167.39,169.03,168.8256,38612273
2025-06-03,167.49,168.475,165.28,166.18,165.9791,45084898
2025-06-04,166.735,168.215,166.36,168.05,167.8468,26900840
2025-06-05,170.34,170.93,167.59,168.21,168.0066,36444559
2025-06-06,170.83,174.5,170.83,173.68,173.47,35731832
2025-06-09,174.54,176.47,174.37,176.09,176.09,28935910
2025-06-10,176.2,181.105,174.91,178.6,178.6,61766121
2025-06-11,179.77,180.37,176.75,177.35,177.35,31646760
2025-06-12,176.18,176.72,174.745,175.7,175.7,20941869
2025-06-13,172.44,177.13,172.385,174.67,174.67,27663109
2025-06-16,174.73,176.94,174.65,176.77,176.77,27389211
2025-06-17,175.7,177.3648,174.58,175.95,175.95,24973039
2025-06-18,176.01,176.56,173.2,173.32,173.32,28707520
2025-06-20,173.945,174.34,165.46,166.64,166.64,75659922
2025-06-23,166.27,167.34,162.0,165.19,165.19,57670992
2025-06-24,166.92,168.22,166.13,166.77,166.77,40524312
2025-06-25,167.63,172.36,167.55,170.68,170.68,35478992
2025-06-26,172.43,173.69,169.94,173.54,173.54,31796689
2025-06-27,173.54,178.68,171.73,178.53,178.53,108140200
2025-06-30,180.78,181.23,174.58,176.23,176.23,63378900
2025-07-01,175.74,176.09,173.53,175.84,175.84,35904500
2025-07-02,175.54,178.86,175.07,178.64,178.64,29128900
2025-07-03,178.5,179.67,177.05,179.53,179.53,21689730
2025-07-07,179.06,179.297,175.68,176.79,176.79,34175648
2025-07-08,177.85,177.95,172.81,174.36,174.36,40442539
2025-07-09,175.25,179.44,172.77,176.62,176.62,43025594
2025-07-10,175.63,178.429,174.38,177.62,177.62,29252391
2025-07-11,176.785,181.43,176.48,180.19,180.19,34282922
2025-07-14,181.01,183.67,179.68,181.56,181.56,32536632
